"deviceId","date","time","locationStatus","latitude","longitude","mobileStatus","netType","roaming","downstreamBandwidth","upstreamBandwidth","rx","tx","asuLevel","cqi","dbm","level","rsrp","rsrq","rssi","rssnr","earfcn","band","frequency","ci","pci","tag","downlink","uplink","networkOperator","chipOperator","mcc","mnc","bluetoothStatus"
"70ca26565b6202ab","08/02/2023","10:54:52","1","-22.89145421","-47.06265188","1","4G","-1","30000","15000","0 B","120 B","32","2147483647","-108","1","-108","-14","-73","-3.0","1750","3","1800 MHz","230495255","42","50119","1860.0","1765.0","Vivo","Vivo","724","10","4"
"70ca26565b6202ab","08/02/2023","10:54:53","1","-22.89145421","-47.06265188","1","4G","-1","30000","15000","0 B","60 B","32","2147483647","-108","1","-108","-14","-73","-3.0","1750","3","1800 MHz","230495255","42","50119","1860.0","1765.0","Vivo","Vivo","724","10","4"
"70ca26565b6202ab","08/02/2023","10:54:54","1","-22.89145421","-47.06265188","1","4G","-1","30000","15000","0 B","60 B","32","2147483647","-108","1","-108","-14","-73","-3.0","1750","3","1800 MHz","230495255","42","50119","1860.0","1765.0","Vivo","Vivo","724","10","4"
"70ca26565b6202ab","08/02/2023","10:54:55","1","-22.89145421","-47.06265188","1","4G","-1","30000","15000","0 B","0 B","32","2147483647","-108","1","-108","-14","-73","-3.0","1750","3","1800 MHz","230495255","42","50119","1860.0","1765.0","Vivo","Vivo","724","10","4"
"70ca26565b6202ab","08/02/2023","10:54:56","1","-22.89145421","-47.06265188","1","4G","-1","30000","15000","0 B","120 B","32","2147483647","-108","1","-108","-14","-73","-3.0","1750","3","1800 MHz","230495255","42","50119","1860.0","1765.0","Vivo","Vivo","724","10","4"
"70ca26565b6202ab","08/02/2023","10:54:57","1","-22.89145421","-47.06265188","1","4G","-1","30000","15000","0 B","240 B","32","2147483647","-108","1","-108","-14","-73","-3.0","1750","3","1800 MHz","230495255","42","50119","1860.0","1765.0","Vivo","Vivo","724","10","4"
"70ca26565b6202ab","08/02/2023","10:54:58","1","-22.89145421","-47.06265188","1","4G","-1","30000","15000","0 B","300 B","32","2147483647","-108","1","-108","-14","-73","-3.0","1750","3","1800 MHz","230495255","42","50119","1860.0","1765.0","Vivo","Vivo","724","10","4"
"70ca26565b6202ab","08/02/2023","10:54:59","1","-22.89145421","-47.06265188","1","4G","-1","30000","15000","0 B","300 B","32","2147483647","-108","1","-108","-14","-73","-3.0","1750","3","1800 MHz","230495255","42","50119","1860.0","1765.0","Vivo","Vivo","724","10","4"
"70ca26565b6202ab","08/02/2023","10:55:00","1","-22.89145421","-47.06265188","1","4G","-1","30000","15000","0 B","120 B","32","2147483647","-108","1","-108","-14","-73","-3.0","1750","3","1800 MHz","230495255","42","50119","1860.0","1765.0","Vivo","Vivo","724","10","4"
"70ca26565b6202ab","08/02/2023","10:55:01","1","-22.89145421","-47.06265188","1","4G","-1","30000","15000","0 B","240 B","32","2147483647","-108","1","-108","-14","-73","-3.0","1750","3","1800 MHz","230495255","42","50119","1860.0","1765.0","Vivo","Vivo","724","10","4"
"70ca26565b6202ab","08/02/2023","11:14:10","1","-22.89145421","-47.06265188","1","4G","-1","30000","15000","0 B","0 B","30","2147483647","-110","1","-110","-13","-77","-3.0","1750","3","1800 MHz","230495255","42","50119","1860.0","1765.0","Vivo","Vivo","724","10","4"
