model,currentDateTime,latitude,longitude,mobileStatus,networkOperator,netType,dbm,rsrp [dBm],rsrq,rssi [dBm]
moto g200 5G,2023-08-20 13:36:00,-3.1022681,-58.4555319,1,,4G,-1,-1,-1,-1
moto g200 5G,2023-08-20 13:36:01,-3.102268,-58.4555319,1,,4G,-1,-1,-1,-1
moto g200 5G,2023-08-20 13:36:02,-3.102268,-58.4555321,1,,4G,-1,-1,-1,-1
moto g200 5G,2023-08-20 13:36:03,-3.1022678,-58.4555321,1,,4G,-1,-1,-1,-1
moto g200 5G,2023-08-20 13:36:05,-3.1022676,-58.4555321,1,,4G,-1,-1,-1,-1
moto g200 5G,2023-08-20 13:36:06,-3.1022675,-58.4555323,1,,4G,-1,-1,-1,-1
moto g200 5G,2023-08-20 13:36:07,-3.1022673,-58.4555323,1,,4G,-1,-1,-1,-1
moto g200 5G,2023-08-20 13:36:08,-3.1022673,-58.4555325,1,,4G,-1,-1,-1,-1
moto g200 5G,2023-08-20 13:36:09,-3.1022671,-58.4555325,1,,4G,-1,-1,-1,-1
moto g200 5G,2023-08-20 13:36:10,-3.1022671,-58.4555325,1,,4G,-1,-1,-1,-1
moto g200 5G,2023-08-20 13:36:11,-3.1022669,-58.4555326,1,,4G,-1,-1,-1,-1
moto g200 5G,2023-08-20 13:36:12,-3.1022669,-58.4555328,1,,4G,-1,-1,-1,-1
moto g200 5G,2023-08-20 13:36:13,-3.1022668,-58.4555328,1,,4G,-1,-1,-1,-1
moto g200 5G,2023-08-20 13:36:14,-3.1022668,-58.455533,1,,4G,-1,-1,-1,-1
moto g200 5G,2023-08-20 13:36:16,-3.1022668,-58.4555331,1,,4G,-1,-1,-1,-1
moto g200 5G,2023-08-20 13:36:17,-3.1022666,-58.4555331,1,,4G,-1,-1,-1,-1
moto g200 5G,2023-08-20 13:36:18,-3.1022666,-58.4555333,1,,4G,-1,-1,-1,-1
moto g200 5G,2023-08-20 13:36:19,-3.1022665,-58.4555333,1,,4G,-1,-1,-1,-1
moto g200 5G,2023-08-20 13:36:20,-3.1022665,-58.4555333,1,,4G,-1,-1,-1,-1
moto g200 5G,2023-08-20 13:36:21,-3.1022665,-58.4555333,1,,4G,-1,-1,-1,-1
moto g200 5G,2023-08-20 13:36:22,-3.1022663,-58.4555333,1,,4G,-1,-1,-1,-1
moto g200 5G,2023-08-20 13:36:23,-3.1022663,-58.4555335,1,,4G,-1,-1,-1,-1
moto g200 5G,2023-08-20 13:36:24,-3.1022663,-58.4555335,1,,4G,-1,-1,-1,-1
moto g200 5G,2023-08-20 13:36:25,-3.1022661,-58.4555333,1,,4G,-1,-1,-1,-1
moto g200 5G,2023-08-20 13:36:26,-3.1022661,-58.4555333,1,,4G,-1,-1,-1,-1
moto g200 5G,2023-08-20 13:36:28,-3.1022663,-58.4555333,1,,4G,-1,-1,-1,-1
moto g200 5G,2023-08-20 13:36:29,-3.1022663,-58.4555335,1,,4G,-1,-1,-1,-1
moto g200 5G,2023-08-20 13:36:30,-3.1022663,-58.4555335,1,,4G,-1,-1,-1,-1
moto g200 5G,2023-08-20 13:36:31,-3.1022663,-58.4555336,1,,4G,-1,-1,-1,-1
moto g200 5G,2023-08-20 13:36:32,-3.1022665,-58.4555336,1,,4G,-1,-1,-1,-1
moto g200 5G,2023-08-20 13:36:33,-3.1022665,-58.4555336,1,,4G,-1,-1,-1,-1
moto g200 5G,2023-08-20 13:36:34,-3.1022665,-58.4555336,1,,4G,-1,-1,-1,-1
moto g200 5G,2023-08-20 13:36:35,-3.1022665,-58.4555338,1,,4G,-1,-1,-1,-1
moto g200 5G,2023-08-20 13:36:36,-3.1022666,-58.455534,1,,4G,-1,-1,-1,-1
moto g200 5G,2023-08-20 13:36:37,-3.1022666,-58.455534,1,,4G,-1,-1,-1,-1
moto g200 5G,2023-08-20 13:36:39,-3.1022666,-58.4555341,1,,4G,-1,-1,-1,-1
moto g200 5G,2023-08-20 13:36:40,-3.1022668,-58.4555341,1,,4G,-1,-1,-1,-1
moto g200 5G,2023-08-20 13:36:41,-3.1022668,-58.4555343,1,,4G,-1,-1,-1,-1
moto g200 5G,2023-08-20 13:36:42,-3.1022669,-58.4555345,1,,4G,-1,-1,-1,-1
moto g200 5G,2023-08-20 13:36:43,-3.1022669,-58.4555345,1,,4G,-1,-1,-1,-1
moto g200 5G,2023-08-20 13:36:44,-3.1022671,-58.4555346,1,,4G,-1,-1,-1,-1
moto g200 5G,2023-08-20 13:36:45,-3.1022671,-58.4555346,1,,4G,-1,-1,-1,-1
moto g200 5G,2023-08-20 13:36:46,-3.1022671,-58.4555348,1,,4G,-1,-1,-1,-1
moto g200 5G,2023-08-20 13:36:47,-3.1022673,-58.4555348,1,,4G,-1,-1,-1,-1
moto g200 5G,2023-08-20 13:36:48,-3.1022673,-58.4555348,1,,4G,-1,-1,-1,-1
moto g200 5G,2023-08-20 13:36:50,-3.1022675,-58.4555349,1,,4G,-1,-1,-1,-1
moto g200 5G,2023-08-20 13:36:51,-3.1022675,-58.4555351,1,,4G,-1,-1,-1,-1
moto g200 5G,2023-08-20 13:36:52,-3.1022675,-58.4555351,1,,4G,-1,-1,-1,-1
moto g200 5G,2023-08-20 13:36:53,-3.1022676,-58.4555351,1,,4G,-1,-1,-1,-1
moto g200 5G,2023-08-20 13:36:54,-3.1022676,-58.4555353,1,,4G,-1,-1,-1,-1
moto g200 5G,2023-08-20 13:36:55,-3.1022678,-58.4555353,1,,4G,-1,-1,-1,-1
moto g200 5G,2023-08-20 13:36:56,-3.1022678,-58.4555355,1,,4G,-1,-1,-1,-1
moto g200 5G,2023-08-20 13:36:57,-3.102268,-58.4555355,1,,4G,-1,-1,-1,-1
moto g200 5G,2023-08-20 13:36:58,-3.102268,-58.4555355,1,,4G,-1,-1,-1,-1
moto g200 5G,2023-08-20 13:36:59,-3.102268,-58.4555355,1,,4G,-1,-1,-1,-1
moto g200 5G,2023-08-20 13:37:00,-3.1022681,-58.4555355,1,,4G,-1,-1,-1,-1
