latitude,longitude,rsrp [dBm],rsrq,rssnr,cqi,weight,Unnamed: 7
-3.1425672,-58.4330381,-90,-13,-1,12,4,bom
-3.1430102,-58.4330232,-90,-13,-1,12,4,
-3.1431415,-58.4330856,-90,-13,-1,12,4,
-3.1431762,-58.4331659,-90,-13,-1,12,4,
-3.1431772,-58.4331633,-90,-13,-1,12,4,
-3.1431731,-58.4331586,-84,-11,0,12,4,
-3.1431662,-58.4331401,-84,-11,0,12,4,
-3.1431823,-58.4331416,-84,-11,0,12,4,
-3.1431842,-58.433142,-84,-11,0,12,4,
-3.143185,-58.4331429,-83,-11,0,13,4,
-3.1431899,-58.4331448,-83,-11,0,13,4,
-3.143193,-58.4331467,-83,-11,0,13,4,
-3.1431979,-58.4331505,-83,-11,0,13,4,
-3.1431991,-58.4331505,-83,-11,0,13,4,
-3.1431999,-58.433149,-83,-9,0,15,4,
-3.1432012,-58.4331504,-83,-9,0,15,4,
-3.1432022,-58.4331513,-83,-9,0,15,4,
-3.1432039,-58.4331516,-83,-9,0,15,4,
-3.1432083,-58.4331636,-89,-10,0,14,4,
-3.1432079,-58.4331644,-89,-10,0,14,4,
-3.1432075,-58.4331645,-89,-10,0,14,4,
-3.1432079,-58.4331636,-89,-10,0,14,4,
-3.1432084,-58.4331624,-89,-10,0,14,4,
-3.1432092,-58.4331614,-90,-13,-1,13,4,
-3.143209,-58.4331612,-90,-13,-1,13,4,
-3.1432084,-58.4331617,-90,-13,-1,13,4,
-3.1432076,-58.4331621,-90,-13,-1,13,4,
-3.1432071,-58.4331626,-98,-14,0,12,4,
-3.1432067,-58.4331632,-98,-14,0,12,4,
-3.1432066,-58.4331633,-98,-14,0,12,4,
-3.143206,-58.4331635,-98,-14,0,12,4,
-3.1432126,-58.4331642,-98,-14,0,12,4,
-3.1432259,-58.4331651,-87,-9,-1,14,4,
-3.1432618,-58.4331671,-87,-9,-1,14,4,
-3.1433034,-58.4331679,-87,-9,-1,14,4,
-3.1433516,-58.4331693,-87,-9,-1,14,4,
-3.1434018,-58.4331712,-87,-9,-1,14,4,
-3.1435033,-58.433179,-89,-13,-1,12,4,
-3.1435229,-58.4331798,-89,-13,-1,12,4,
-3.1436589,-58.4331861,-89,-13,-1,12,4,
-3.1437377,-58.433188,-89,-13,-1,12,4,
-3.1438192,-58.4331888,-89,-13,-1,12,4,
-3.143902,-58.433191,-89,-13,-1,12,4,
-3.1439843,-58.4331935,-89,-13,-1,12,4,
-3.1440676,-58.4331977,-89,-13,-1,12,4,
-3.1441538,-58.4332025,-89,-13,-1,12,4,
-3.1442388,-58.4332093,-89,-13,-1,12,4,
