model,currentDateTime,latitude,longitude,mobileStatus,networkOperator,netType,dbm,rsrp [dBm],rsrq,rssi [dBm]
moto g200 5G,2023-08-20 12:00:00,-3.1262848,-58.4416598,1,Claro BR,4G,-98,-98,-8,-71
moto g200 5G,2023-08-20 12:00:01,-3.1262848,-58.4416598,1,Claro BR,4G,-98,-98,-8,-71
moto g200 5G,2023-08-20 12:00:02,-3.1262848,-58.4416598,1,Claro BR,4G,-98,-98,-8,-71
moto g200 5G,2023-08-20 12:00:03,-3.1262848,-58.4416598,1,Claro BR,4G,-98,-98,-8,-71
moto g200 5G,2023-08-20 12:00:04,-3.1262848,-58.4416598,1,Claro BR,4G,-98,-98,-8,-71
moto g200 5G,2023-08-20 12:00:06,-3.1262848,-58.4416598,1,Claro BR,4G,-98,-98,-8,-71
moto g200 5G,2023-08-20 12:00:07,-3.1262848,-58.4416598,1,Claro BR,4G,-98,-98,-9,-67
moto g200 5G,2023-08-20 12:00:08,-3.1262848,-58.4416598,1,Claro BR,4G,-98,-98,-9,-67
moto g200 5G,2023-08-20 12:00:09,-3.1262847,-58.4416598,1,Claro BR,4G,-98,-98,-9,-67
moto g200 5G,2023-08-20 12:00:10,-3.1262847,-58.4416598,1,Claro BR,4G,-98,-98,-9,-67
moto g200 5G,2023-08-20 12:00:11,-3.1262847,-58.4416598,1,Claro BR,4G,-98,-98,-9,-67
moto g200 5G,2023-08-20 12:00:12,-3.1262847,-58.4416598,1,Claro BR,4G,-102,-102,-8,-75
moto g200 5G,2023-08-20 12:00:13,-3.1262847,-58.4416598,1,Claro BR,4G,-102,-102,-8,-75
moto g200 5G,2023-08-20 12:00:14,-3.1262847,-58.4416598,1,Claro BR,4G,-102,-102,-8,-75
moto g200 5G,2023-08-20 12:00:15,-3.1262847,-58.4416598,1,Claro BR,4G,-102,-102,-8,-75
moto g200 5G,2023-08-20 12:00:16,-3.1262847,-58.4416598,1,Claro BR,4G,-102,-102,-8,-75
moto g200 5G,2023-08-20 12:00:18,-3.1262847,-58.4416598,1,Claro BR,4G,-102,-102,-8,-75
moto g200 5G,2023-08-20 12:00:19,-3.1262847,-58.4416598,1,Claro BR,4G,-102,-102,-8,-75
moto g200 5G,2023-08-20 12:00:20,-3.1262847,-58.4416598,1,Claro BR,4G,-102,-102,-8,-75
moto g200 5G,2023-08-20 12:00:21,-3.1262847,-58.4416597,1,Claro BR,4G,-102,-102,-8,-75
moto g200 5G,2023-08-20 12:00:22,-3.1262847,-58.4416597,1,Claro BR,4G,-98,-98,-7,-69
moto g200 5G,2023-08-20 12:00:23,-3.1262847,-58.4416597,1,Claro BR,4G,-98,-98,-7,-69
moto g200 5G,2023-08-20 12:00:24,-3.1262847,-58.4416597,1,Claro BR,4G,-98,-98,-7,-69
moto g200 5G,2023-08-20 12:00:25,-3.1262847,-58.4416597,1,Claro BR,4G,-98,-98,-7,-69
moto g200 5G,2023-08-20 12:00:26,-3.1262847,-58.4416597,1,Claro BR,4G,-98,-98,-7,-69
moto g200 5G,2023-08-20 12:00:27,-3.1262847,-58.4416597,1,Claro BR,4G,-98,-98,-7,-69
moto g200 5G,2023-08-20 12:00:28,-3.1262847,-58.4416597,1,Claro BR,4G,-98,-98,-7,-69
moto g200 5G,2023-08-20 12:00:30,-3.1262847,-58.4416597,1,Claro BR,4G,-98,-98,-7,-69
moto g200 5G,2023-08-20 12:00:31,-3.1262847,-58.4416597,1,Claro BR,4G,-98,-98,-7,-69
moto g200 5G,2023-08-20 12:00:32,-3.1262847,-58.4416597,1,Claro BR,4G,-97,-97,-7,-69
moto g200 5G,2023-08-20 12:00:33,-3.1262847,-58.4416597,1,Claro BR,4G,-97,-97,-7,-69
moto g200 5G,2023-08-20 12:00:34,-3.1262847,-58.4416597,1,Claro BR,4G,-97,-97,-7,-69
moto g200 5G,2023-08-20 12:00:35,-3.1262847,-58.4416597,1,Claro BR,4G,-97,-97,-7,-69
moto g200 5G,2023-08-20 12:00:36,-3.1262847,-58.4416597,1,Claro BR,4G,-97,-97,-7,-69
moto g200 5G,2023-08-20 12:00:37,-3.1262847,-58.4416597,1,Claro BR,4G,-98,-98,-8,-71
moto g200 5G,2023-08-20 12:00:38,-3.1262846,-58.4416597,1,Claro BR,4G,-98,-98,-8,-71
moto g200 5G,2023-08-20 12:00:39,-3.1262846,-58.4416597,1,Claro BR,4G,-98,-98,-8,-71
moto g200 5G,2023-08-20 12:00:41,-3.1262846,-58.4416597,1,Claro BR,4G,-98,-98,-8,-71
moto g200 5G,2023-08-20 12:00:42,-3.1262846,-58.4416597,1,Claro BR,4G,-98,-98,-8,-71
moto g200 5G,2023-08-20 12:00:43,-3.1262846,-58.4416597,1,Claro BR,4G,-98,-98,-8,-71
