model,currentDateTime,latitude,longitude,mobileStatus,networkOperator,netType,dbm,rsrp [dBm],rsrq,rssi [dBm]
Redmi Note 9S,2023-08-20 13:36:00,-3.1022913,-58.4556471,-1,Vivo,Wi-Fi,-116,-116,-13,-83
Redmi Note 9S,2023-08-20 13:36:02,-3.1022876,-58.4556464,-1,Vivo,Wi-Fi,-116,-116,-13,-83
Redmi Note 9S,2023-08-20 13:36:03,-3.1022875,-58.4556446,-1,Vivo,Wi-Fi,-116,-116,-13,-83
Redmi Note 9S,2023-08-20 13:36:04,-3.1022874,-58.4556446,-1,Vivo,Wi-Fi,-116,-116,-13,-83
Redmi Note 9S,2023-08-20 13:36:05,-3.1022871,-58.4556444,-1,Vivo,Wi-Fi,-116,-116,-13,-83
Redmi Note 9S,2023-08-20 13:36:06,-3.102287,-58.4556443,-1,Vivo,Wi-Fi,-116,-116,-13,-83
Redmi Note 9S,2023-08-20 13:36:07,-3.102287,-58.4556442,-1,Vivo,Wi-Fi,-118,-118,-15,-85
Redmi Note 9S,2023-08-20 13:36:09,-3.102287,-58.4556442,-1,Vivo,Wi-Fi,-118,-118,-15,-85
Redmi Note 9S,2023-08-20 13:36:10,-3.102287,-58.4556442,-1,Vivo,Wi-Fi,-118,-118,-15,-85
Redmi Note 9S,2023-08-20 13:36:11,-3.102287,-58.4556442,-1,Vivo,Wi-Fi,-118,-118,-15,-85
Redmi Note 9S,2023-08-20 13:36:12,-3.102287,-58.4556442,-1,Vivo,Wi-Fi,-118,-118,-15,-85
Redmi Note 9S,2023-08-20 13:36:13,-3.102287,-58.4556442,-1,Vivo,Wi-Fi,-118,-118,-15,-85
Redmi Note 9S,2023-08-20 13:36:14,-3.102287,-58.4556442,-1,Vivo,Wi-Fi,-118,-118,-15,-85
Redmi Note 9S,2023-08-20 13:36:16,-3.102287,-58.4556442,-1,Vivo,Wi-Fi,-118,-118,-15,-85
Redmi Note 9S,2023-08-20 13:36:17,-3.102287,-58.4556442,-1,Vivo,Wi-Fi,-118,-118,-15,-85
Redmi Note 9S,2023-08-20 13:36:18,-3.102287,-58.4556442,-1,Vivo,Wi-Fi,-117,-117,-15,-83
Redmi Note 9S,2023-08-20 13:36:19,-3.102287,-58.4556442,-1,Vivo,Wi-Fi,-117,-117,-15,-83
Redmi Note 9S,2023-08-20 13:36:20,-3.102287,-58.4556442,-1,Vivo,Wi-Fi,-117,-117,-15,-83
Redmi Note 9S,2023-08-20 13:36:21,-3.102287,-58.4556442,-1,Vivo,Wi-Fi,-117,-117,-15,-83
Redmi Note 9S,2023-08-20 13:36:23,-3.102287,-58.4556442,-1,Vivo,Wi-Fi,-117,-117,-15,-83
Redmi Note 9S,2023-08-20 13:36:24,-3.102287,-58.4556442,-1,Vivo,Wi-Fi,-117,-117,-15,-83
Redmi Note 9S,2023-08-20 13:36:25,-3.102287,-58.4556442,-1,Vivo,Wi-Fi,-117,-117,-15,-83
Redmi Note 9S,2023-08-20 13:36:26,-3.102287,-58.4556442,-1,Vivo,Wi-Fi,-117,-117,-15,-83
Redmi Note 9S,2023-08-20 13:36:27,-3.102287,-58.4556442,-1,Vivo,Wi-Fi,-119,-119,-16,-87
Redmi Note 9S,2023-08-20 13:36:28,-3.102287,-58.4556442,-1,Vivo,Wi-Fi,-119,-119,-16,-87
Redmi Note 9S,2023-08-20 13:36:30,-3.1022863,-58.4556442,-1,Vivo,Wi-Fi,-119,-119,-16,-87
Redmi Note 9S,2023-08-20 13:36:31,-3.1022872,-58.4556422,-1,Vivo,Wi-Fi,-119,-119,-16,-87
Redmi Note 9S,2023-08-20 13:36:32,-3.1022899,-58.4556349,-1,Vivo,Wi-Fi,-119,-119,-16,-87
Redmi Note 9S,2023-08-20 13:36:33,-3.1022934,-58.4556348,-1,Vivo,Wi-Fi,-119,-119,-16,-87
Redmi Note 9S,2023-08-20 13:36:34,-3.1022974,-58.4556352,-1,Vivo,Wi-Fi,-119,-119,-16,-87
Redmi Note 9S,2023-08-20 13:36:35,-3.1022989,-58.4556337,-1,Vivo,Wi-Fi,-119,-119,-16,-87
Redmi Note 9S,2023-08-20 13:36:37,-3.1023014,-58.4556302,-1,Vivo,Wi-Fi,-119,-119,-16,-87
Redmi Note 9S,2023-08-20 13:36:38,-3.1023078,-58.4556285,-1,Vivo,Wi-Fi,-116,-116,-11,-87
Redmi Note 9S,2023-08-20 13:36:39,-3.1023115,-58.4556206,-1,Vivo,Wi-Fi,-116,-116,-11,-87
Redmi Note 9S,2023-08-20 13:36:40,-3.102317,-58.4556086,-1,Vivo,Wi-Fi,-116,-116,-11,-87
Redmi Note 9S,2023-08-20 13:36:41,-3.1023226,-58.4555999,-1,Vivo,Wi-Fi,-116,-116,-11,-87
Redmi Note 9S,2023-08-20 13:36:42,-3.1023248,-58.4556003,-1,Vivo,Wi-Fi,-116,-116,-11,-87
Redmi Note 9S,2023-08-20 13:36:43,-3.1023237,-58.4555976,-1,Vivo,Wi-Fi,-116,-116,-11,-87
Redmi Note 9S,2023-08-20 13:36:45,-3.1023194,-58.455586,-1,Vivo,Wi-Fi,-116,-116,-11,-87
Redmi Note 9S,2023-08-20 13:36:46,-3.1023084,-58.4555766,-1,Vivo,Wi-Fi,-116,-116,-11,-87
Redmi Note 9S,2023-08-20 13:36:47,-3.1023101,-58.4555816,-1,Vivo,Wi-Fi,-116,-116,-11,-87
Redmi Note 9S,2023-08-20 13:36:48,-3.1023148,-58.4555869,-1,Vivo,Wi-Fi,-117,-117,-13,-87
Redmi Note 9S,2023-08-20 13:36:49,-3.102318,-58.4555899,-1,Vivo,Wi-Fi,-117,-117,-13,-87
Redmi Note 9S,2023-08-20 13:36:50,-3.1023199,-58.4555897,-1,Vivo,Wi-Fi,-117,-117,-13,-87
Redmi Note 9S,2023-08-20 13:36:52,-3.1023226,-58.45559,-1,Vivo,Wi-Fi,-117,-117,-13,-87
Redmi Note 9S,2023-08-20 13:36:53,-3.102325,-58.4555923,-1,Vivo,Wi-Fi,-117,-117,-13,-87
Redmi Note 9S,2023-08-20 13:36:54,-3.1023253,-58.455593,-1,Vivo,Wi-Fi,-117,-117,-13,-87
Redmi Note 9S,2023-08-20 13:36:55,-3.1023212,-58.4555816,-1,Vivo,Wi-Fi,-117,-117,-13,-87
Redmi Note 9S,2023-08-20 13:36:56,-3.1023172,-58.4555733,-1,Vivo,Wi-Fi,-117,-117,-13,-87
Redmi Note 9S,2023-08-20 13:36:57,-3.1023148,-58.4555755,-1,Vivo,Wi-Fi,-119,-119,-16,-85
Redmi Note 9S,2023-08-20 13:36:59,-3.1023132,-58.4555718,-1,Vivo,Wi-Fi,-119,-119,-16,-85
Redmi Note 9S,2023-08-20 13:37:00,-3.1023012,-58.4555583,-1,Vivo,Wi-Fi,-119,-119,-16,-85
Redmi Note 9S,2023-08-20 13:37:01,-3.1022999,-58.4555641,-1,Vivo,Wi-Fi,-119,-119,-16,-85
Redmi Note 9S,2023-08-20 13:37:02,-3.1023012,-58.4555728,-1,Vivo,Wi-Fi,-119,-119,-16,-85
Redmi Note 9S,2023-08-20 13:37:03,-3.1023038,-58.4555749,-1,Vivo,Wi-Fi,-119,-119,-16,-85
Redmi Note 9S,2023-08-20 13:37:04,-3.1023083,-58.455578,-1,Vivo,Wi-Fi,-119,-119,-16,-85
Redmi Note 9S,2023-08-20 13:37:06,-3.1023143,-58.455579,-1,Vivo,Wi-Fi,-119,-119,-16,-85
Redmi Note 9S,2023-08-20 13:37:07,-3.1023209,-58.4555808,-1,Vivo,Wi-Fi,-119,-119,-16,-85
Redmi Note 9S,2023-08-20 13:37:08,-3.1023207,-58.4555897,-1,Vivo,Wi-Fi,-119,-119,-16,-85
Redmi Note 9S,2023-08-20 13:37:09,-3.1023171,-58.4555941,-1,Vivo,Wi-Fi,-119,-119,-16,-85
Redmi Note 9S,2023-08-20 13:37:10,-3.1023161,-58.4555984,-1,Vivo,Wi-Fi,-119,-119,-16,-85
Redmi Note 9S,2023-08-20 13:37:11,-3.1023184,-58.4556022,-1,Vivo,Wi-Fi,-119,-119,-16,-85
Redmi Note 9S,2023-08-20 13:37:13,-3.102321,-58.4556056,-1,Vivo,Wi-Fi,-119,-119,-16,-85
Redmi Note 9S,2023-08-20 13:37:14,-3.1023225,-58.4556056,-1,Vivo,Wi-Fi,-119,-119,-16,-85
Redmi Note 9S,2023-08-20 13:37:15,-3.1023225,-58.4556007,-1,Vivo,Wi-Fi,-119,-119,-16,-85
Redmi Note 9S,2023-08-20 13:37:16,-3.1023209,-58.4555947,-1,Vivo,Wi-Fi,-119,-119,-16,-85
Redmi Note 9S,2023-08-20 13:37:17,-3.1023164,-58.4555794,-1,Vivo,Wi-Fi,-119,-119,-15,-81
Redmi Note 9S,2023-08-20 13:37:18,-3.1023145,-58.4555697,-1,Vivo,Wi-Fi,-113,-113,-15,-81
Redmi Note 9S,2023-08-20 13:37:20,-3.102308,-58.4555581,-1,Vivo,Wi-Fi,-113,-113,-15,-81
Redmi Note 9S,2023-08-20 13:37:21,-3.1022785,-58.4555463,-1,Vivo,Wi-Fi,-113,-113,-15,-81
Redmi Note 9S,2023-08-20 13:37:22,-3.1022667,-58.4555438,-1,Vivo,Wi-Fi,-113,-113,-15,-81
Redmi Note 9S,2023-08-20 13:37:23,-3.1022595,-58.4555351,-1,Vivo,Wi-Fi,-113,-113,-15,-81
Redmi Note 9S,2023-08-20 13:37:24,-3.102259,-58.4555218,-1,Vivo,Wi-Fi,-113,-113,-15,-81
Redmi Note 9S,2023-08-20 13:37:25,-3.1022662,-58.4555145,-1,Vivo,Wi-Fi,-113,-113,-15,-81
Redmi Note 9S,2023-08-20 13:37:27,-3.1022795,-58.4555031,-1,Vivo,Wi-Fi,-113,-113,-15,-81
Redmi Note 9S,2023-08-20 13:37:28,-3.1023058,-58.455483,-1,Vivo,Wi-Fi,-113,-113,-15,-81
Redmi Note 9S,2023-08-20 13:37:29,-3.1023232,-58.4554661,-1,Vivo,Wi-Fi,-113,-113,-15,-81
Redmi Note 9S,2023-08-20 13:37:30,-3.1023313,-58.455459,-1,Vivo,Wi-Fi,-113,-113,-15,-81
Redmi Note 9S,2023-08-20 13:37:31,-3.102319,-58.4554767,-1,Vivo,Wi-Fi,-113,-113,-15,-81
Redmi Note 9S,2023-08-20 13:37:33,-3.1023137,-58.4554852,-1,Vivo,Wi-Fi,-113,-113,-15,-81
Redmi Note 9S,2023-08-20 13:37:34,-3.1023068,-58.4554948,-1,Vivo,Wi-Fi,-113,-113,-15,-81
Redmi Note 9S,2023-08-20 13:37:35,-3.1023053,-58.4554964,-1,Vivo,Wi-Fi,-113,-113,-15,-81
Redmi Note 9S,2023-08-20 13:37:36,-3.102305,-58.4554986,-1,Vivo,Wi-Fi,-111,-111,-10,-83
Redmi Note 9S,2023-08-20 13:37:37,-3.1023047,-58.4555,-1,Vivo,Wi-Fi,-111,-111,-10,-83
Redmi Note 9S,2023-08-20 13:37:38,-3.1023082,-58.4554911,-1,Vivo,Wi-Fi,-111,-111,-10,-83
Redmi Note 9S,2023-08-20 13:37:40,-3.1023134,-58.4554798,-1,Vivo,Wi-Fi,-111,-111,-10,-83
Redmi Note 9S,2023-08-20 13:37:41,-3.1023232,-58.4554843,-1,Vivo,Wi-Fi,-111,-111,-10,-83
Redmi Note 9S,2023-08-20 13:37:42,-3.1023242,-58.4554854,-1,Vivo,Wi-Fi,-111,-111,-10,-83
Redmi Note 9S,2023-08-20 13:37:43,-3.1023229,-58.4554869,-1,Vivo,Wi-Fi,-111,-111,-10,-83
Redmi Note 9S,2023-08-20 13:37:44,-3.1023247,-58.4554909,-1,Vivo,Wi-Fi,-111,-111,-10,-83
Redmi Note 9S,2023-08-20 13:37:45,-3.1023352,-58.4554961,-1,Vivo,Wi-Fi,-111,-111,-10,-83
Redmi Note 9S,2023-08-20 13:37:47,-3.1023422,-58.4554999,-1,Vivo,Wi-Fi,-115,-115,-10,-87
Redmi Note 9S,2023-08-20 13:37:48,-3.1023481,-58.4555019,-1,Vivo,Wi-Fi,-115,-115,-10,-87
Redmi Note 9S,2023-08-20 13:37:49,-3.1023389,-58.4555067,-1,Vivo,Wi-Fi,-115,-115,-10,-87
Redmi Note 9S,2023-08-20 13:37:50,-3.1023325,-58.4555107,-1,Vivo,Wi-Fi,-115,-115,-10,-87
Redmi Note 9S,2023-08-20 13:37:51,-3.1023295,-58.455518,-1,Vivo,Wi-Fi,-115,-115,-10,-87
Redmi Note 9S,2023-08-20 13:37:52,-3.1023306,-58.455532,-1,Vivo,Wi-Fi,-115,-115,-10,-87
Redmi Note 9S,2023-08-20 13:37:54,-3.1023325,-58.4555323,-1,Vivo,Wi-Fi,-115,-115,-10,-87
Redmi Note 9S,2023-08-20 13:37:55,-3.1023316,-58.4555248,-1,Vivo,Wi-Fi,-115,-115,-10,-87
Redmi Note 9S,2023-08-20 13:37:56,-3.1023289,-58.4555186,-1,Vivo,Wi-Fi,-115,-115,-10,-87
Redmi Note 9S,2023-08-20 13:37:57,-3.1023321,-58.4555175,-1,Vivo,Wi-Fi,-114,-114,-12,-83
Redmi Note 9S,2023-08-20 13:37:58,-3.1023439,-58.4555149,-1,Vivo,Wi-Fi,-114,-114,-12,-83
Redmi Note 9S,2023-08-20 13:37:59,-3.1023414,-58.4555174,-1,Vivo,Wi-Fi,-114,-114,-12,-83
Redmi Note 9S,2023-08-20 13:38:01,-3.1023371,-58.4555226,-1,Vivo,Wi-Fi,-114,-114,-12,-83
Redmi Note 9S,2023-08-20 13:38:02,-3.1023276,-58.4555278,-1,Vivo,Wi-Fi,-114,-114,-12,-83
Redmi Note 9S,2023-08-20 13:38:03,-3.1023241,-58.4555292,-1,Vivo,Wi-Fi,-114,-114,-12,-83
